iter	LogLikelihoodOfPrediction	Logloss
602	0.8764453388	0.2645684316
603	0.876459735	0.2645665183
604	0.8764611723	0.2645663817
605	0.8764732182	0.264564851
606	0.8764735817	0.2645649877
607	0.8764743384	0.2645647964
608	0.8764750277	0.2645648237
609	0.8765201902	0.2645592205
610	0.8765208106	0.2645590839
611	0.8765577218	0.2645545193
612	0.876582614	0.2645514307
613	0.8766036619	0.2645488068
614	0.8766103706	0.2645481235
615	0.8766385982	0.2645445156
616	0.8766443313	0.2645439143
617	0.8766594703	0.2645421377
618	0.8766947373	0.2645377918
619	0.876744632	0.2645316693
620	0.8767618213	0.2645295647
621	0.8768047434	0.2645243715
622	0.876816578	0.2645228682
623	0.8768776427	0.2645152971
624	0.8769438601	0.2645072613
625	0.876947862	0.2645067146
626	0.8769936445	0.2645010841
627	0.8769949403	0.2645009475
628	0.8770143338	0.2644986789
629	0.8770251895	0.2644972849
630	0.8770512199	0.2644941143
631	0.8770524324	0.2644938683
632	0.877059387	0.2644929937
633	0.877067317	0.2644920097
634	0.877072228	0.2644914904
635	0.8770734113	0.2644912991
636	0.8771057311	0.2644873632
637	0.8771068988	0.2644871992
638	0.8771427882	0.264482744
639	0.8771542771	0.26448135
640	0.877247487	0.264470007
641	0.8772517653	0.264469515
642	0.8772527263	0.2644693783
643	0.8772634291	0.2644681757
644	0.8772642912	0.2644679024
645	0.87731339	0.2644619439
646	0.8773144878	0.2644617799
647	0.8773153503	0.2644617252
648	0.8773168812	0.2644615065
649	0.8773509064	0.2644572973
650	0.8773516375	0.2644572427
651	0.8773549074	0.264456942
652	0.8773879243	0.2644527874
653	0.8774044697	0.2644507922
654	0.8774059389	0.2644505462
655	0.8774066209	0.2644504642
656	0.8774077122	0.2644503822
657	0.8774077197	0.2644503822
658	0.8774504603	0.2644449977
659	0.8774570804	0.2644443417
660	0.8775395992	0.2644342833
661	0.8775708518	0.2644305114
662	0.877575836	0.2644298281
663	0.8775848653	0.2644286254
664	0.8776256244	0.2644236509
665	0.877630974	0.2644230496
666	0.8776376914	0.2644222023
667	0.8776389863	0.2644219836
668	0.8776651656	0.2644187584
669	0.8776944356	0.2644152051
670	0.8777018629	0.2644144398
671	0.8777022801	0.2644142212
672	0.8777412858	0.264409438
673	0.8777448476	0.2644089733
674	0.8777475853	0.2644086727
675	0.8777537199	0.2644079347
676	0.8777549716	0.2644076613
677	0.8778510279	0.2643961543
678	0.87787819	0.2643927378
679	0.8779001561	0.2643899772
680	0.8779150206	0.2643882552
681	0.8779183151	0.2643877086
682	0.8779574935	0.2643830894
683	0.877992276	0.2643787708
684	0.8779930982	0.2643786615
685	0.8779987028	0.2643779782
686	0.8779988075	0.2643778415
687	0.8779999967	0.2643777595
688	0.8780256863	0.2643745069
689	0.8780256944	0.2643744796
690	0.87803435	0.2643735229
691	0.8780343619	0.2643735229
692	0.8780347242	0.2643735229
693	0.8780397853	0.2643730036
694	0.878045626	0.264372293
695	0.8780457059	0.264372211
696	0.8780461864	0.2643722383
